=== Scanner (4 threads) at Tue May 12 12:23:29 PM EEST 2026 ===
[MAIN] Resuming from checkpoint: 346864 (37060346864.lt)
[MAIN] Range: 0 to 9999999 (10,000,000 domains)
[MAIN] Threads: 4
[MAIN] Start: 2026-05-12 12:23:29
[PROGRESS] 360,000/10,000,000 (3.60%) | hits: 3 | errors: 259932 | 19.9 req/s | ETA: 134.5h
[PROGRESS] 365,000/10,000,000 (3.65%) | hits: 3 | errors: 264932 | 20.2 req/s | ETA: 132.6h
[PROGRESS] 370,000/10,000,000 (3.70%) | hits: 3 | errors: 269932 | 20.5 req/s | ETA: 130.7h
[PROGRESS] 375,000/10,000,000 (3.75%) | hits: 3 | errors: 274932 | 20.7 req/s | ETA: 128.9h
[PROGRESS] 380,000/10,000,000 (3.80%) | hits: 3 | errors: 279932 | 21.0 req/s | ETA: 127.2h
[PROGRESS] 385,000/10,000,000 (3.85%) | hits: 3 | errors: 284932 | 21.3 req/s | ETA: 125.4h
[PROGRESS] 390,000/10,000,000 (3.90%) | hits: 3 | errors: 289932 | 21.6 req/s | ETA: 123.8h
[PROGRESS] 395,000/10,000,000 (3.95%) | hits: 3 | errors: 294932 | 21.8 req/s | ETA: 122.1h
[PROGRESS] 400,000/10,000,000 (4.00%) | hits: 3 | errors: 299932 | 22.1 req/s | ETA: 120.6h
[PROGRESS] 405,000/10,000,000 (4.05%) | hits: 3 | errors: 304932 | 22.4 req/s | ETA: 119.0h
[PROGRESS] 410,000/10,000,000 (4.10%) | hits: 3 | errors: 309932 | 22.7 req/s | ETA: 117.5h
[PROGRESS] 415,000/10,000,000 (4.15%) | hits: 3 | errors: 314932 | 22.9 req/s | ETA: 116.0h
[PROGRESS] 420,000/10,000,000 (4.20%) | hits: 3 | errors: 319932 | 23.2 req/s | ETA: 114.6h
[PROGRESS] 425,000/10,000,000 (4.25%) | hits: 3 | errors: 324932 | 23.5 req/s | ETA: 113.2h
[PROGRESS] 430,000/10,000,000 (4.30%) | hits: 3 | errors: 329932 | 23.8 req/s | ETA: 111.8h
[PROGRESS] 435,000/10,000,000 (4.35%) | hits: 3 | errors: 334932 | 24.1 req/s | ETA: 110.5h
[PROGRESS] 440,000/10,000,000 (4.40%) | hits: 3 | errors: 339932 | 24.3 req/s | ETA: 109.1h
[PROGRESS] 445,000/10,000,000 (4.45%) | hits: 3 | errors: 344932 | 24.6 req/s | ETA: 107.9h
[PROGRESS] 450,000/10,000,000 (4.50%) | hits: 3 | errors: 349932 | 24.9 req/s | ETA: 106.6h
[PROGRESS] 455,000/10,000,000 (4.55%) | hits: 3 | errors: 354932 | 25.2 req/s | ETA: 105.4h
[PROGRESS] 460,000/10,000,000 (4.60%) | hits: 3 | errors: 359932 | 25.4 req/s | ETA: 104.2h
[PROGRESS] 465,000/10,000,000 (4.65%) | hits: 3 | errors: 364932 | 25.7 req/s | ETA: 103.0h
[PROGRESS] 470,000/10,000,000 (4.70%) | hits: 3 | errors: 369932 | 26.0 req/s | ETA: 101.9h
[PROGRESS] 475,000/10,000,000 (4.75%) | hits: 3 | errors: 374932 | 26.3 req/s | ETA: 100.7h
[PROGRESS] 480,000/10,000,000 (4.80%) | hits: 3 | errors: 379932 | 26.5 req/s | ETA: 99.6h
[PROGRESS] 485,000/10,000,000 (4.85%) | hits: 3 | errors: 384932 | 26.8 req/s | ETA: 98.6h
[PROGRESS] 490,000/10,000,000 (4.90%) | hits: 3 | errors: 389932 | 27.1 req/s | ETA: 97.5h
